iter	Passed	Remaining
0	19	19890
1	35	17943
2	52	17397
3	66	16585
4	73	14648
5	80	13287
6	90	12874
7	108	13427
8	115	12695
9	121	11997
10	127	11449
11	133	11030
12	139	10619
13	146	10286
14	152	9995
15	158	9747
16	164	9534
17	171	9330
18	177	9148
19	183	8983
20	189	8827
21	195	8686
22	201	8557
23	207	8450
24	213	8340
25	220	8242
26	226	8150
27	232	8071
28	238	7992
29	244	7915
30	251	7848
31	257	7799
32	264	7736
33	270	7673
34	276	7615
35	283	7578
36	289	7523
37	295	7472
38	301	7428
39	307	7377
40	314	7345
41	320	7303
42	326	7262
43	332	7227
44	338	7188
45	345	7158
46	351	7124
47	357	7090
48	363	7063
49	370	7032
50	376	7012
51	383	6983
52	389	6950
53	395	6928
54	401	6902
55	408	6880
56	414	6850
57	420	6822
58	426	6798
59	432	6770
60	438	6746
61	444	6722
62	450	6701
63	457	6684
64	463	6662
65	469	6643
66	475	6621
67	481	6600
68	487	6581
69	493	6560
70	499	6541
71	505	6521
72	512	6502
73	518	6484
74	524	6465
75	530	6448
76	536	6427
77	542	6410
78	548	6391
79	554	6373
80	560	6358
81	566	6338
82	572	6321
83	578	6305
84	584	6289
85	590	6276
86	596	6260
87	602	6243
88	608	6229
89	614	6212
90	620	6196
91	626	6182
92	632	6168
93	638	6155
94	644	6142
95	651	6131
96	657	6120
97	663	6106
98	669	6092
99	686	6177
100	692	6162
101	698	6148
102	704	6134
103	710	6121
104	716	6107
105	722	6095
106	728	6083
107	734	6070
108	741	6057
109	747	6046
110	753	6034
111	759	6021
112	765	6008
113	771	5998
114	777	5985
115	783	5972
116	789	5958
117	795	5946
118	801	5934
119	807	5923
120	813	5910
121	819	5900
122	825	5887
123	831	5875
124	838	5866
125	844	5858
126	851	5851
127	857	5840
128	863	5829
129	869	5818
130	875	5806
131	881	5795
132	887	5785
133	893	5774
134	899	5765
135	905	5754
136	912	5745
137	918	5736
138	924	5725
139	930	5716
140	936	5707
141	943	5698
142	949	5689
143	955	5677
144	964	5686
145	973	5692
146	981	5693
147	990	5701
148	998	5700
149	1005	5699
150	1013	5697
151	1020	5694
152	1028	5693
153	1036	5694
154	1044	5694
155	1051	5690
156	1059	5686
157	1067	5688
158	1075	5687
159	1082	5684
160	1089	5678
161	1096	5674
162	1103	5666
163	1109	5656
164	1117	5652
165	1123	5643
166	1129	5635
167	1135	5624
168	1141	5614
169	1148	5605
170	1154	5597
171	1160	5588
172	1167	5582
173	1174	5573
174	1180	5564
175	1186	5554
176	1192	5546
177	1198	5536
178	1204	5526
179	1210	5516
180	1217	5507
181	1223	5497
182	1229	5487
183	1235	5480
184	1242	5472
185	1248	5465
186	1254	5456
187	1261	5447
188	1267	5438
189	1273	5429
190	1279	5421
191	1285	5411
192	1292	5403
193	1298	5393
194	1304	5384
195	1310	5376
196	1316	5367
197	1323	5359
198	1329	5350
199	1335	5341
200	1341	5333
201	1347	5324
202	1353	5314
203	1359	5306
204	1368	5306
205	1374	5298
206	1380	5290
207	1386	5281
208	1393	5272
209	1399	5265
210	1405	5257
211	1412	5248
212	1418	5240
213	1424	5231
214	1430	5223
215	1437	5216
216	1443	5209
217	1449	5201
218	1456	5193
219	1462	5184
220	1468	5175
221	1474	5166
222	1480	5158
223	1486	5149
224	1492	5141
225	1498	5132
226	1505	5125
227	1511	5116
228	1517	5108
229	1523	5100
230	1529	5091
231	1535	5082
232	1541	5074
233	1547	5067
234	1554	5059
235	1560	5050
236	1566	5042
237	1572	5034
238	1578	5026
239	1584	5017
240	1590	5009
241	1596	5001
242	1602	4993
243	1608	4984
244	1614	4976
245	1620	4968
246	1627	4960
247	1633	4953
248	1639	4945
249	1645	4937
250	1651	4928
251	1657	4919
252	1663	4911
253	1669	4903
254	1675	4895
255	1681	4887
256	1688	4882
257	1695	4876
258	1702	4872
259	1709	4866
260	1716	4861
261	1723	4855
262	1730	4848
263	1736	4841
264	1742	4833
265	1748	4826
266	1754	4818
267	1761	4810
268	1766	4801
269	1772	4793
270	1778	4785
271	1785	4777
272	1791	4770
273	1797	4762
274	1803	4754
275	1809	4746
276	1815	4738
277	1821	4730
278	1827	4722
279	1833	4715
280	1839	4707
281	1845	4699
282	1852	4693
283	1858	4685
284	1864	4678
285	1870	4670
286	1876	4662
287	1883	4657
288	1890	4649
289	1896	4642
290	1902	4634
291	1908	4627
292	1914	4619
293	1920	4612
294	1926	4604
295	1932	4596
296	1938	4589
297	1944	4580
298	1950	4573
299	1956	4565
300	1963	4559
301	1969	4552
302	1975	4544
303	1981	4536
304	1987	4529
305	1993	4521
306	1999	4514
307	2005	4506
308	2011	4499
309	2018	4492
310	2024	4485
311	2030	4477
312	2036	4470
313	2042	4462
314	2048	4455
315	2054	4447
316	2061	4440
317	2067	4433
318	2073	4425
319	2079	4418
320	2085	4410
321	2091	4403
322	2097	4395
323	2103	4387
324	2109	4380
325	2115	4373
326	2121	4365
327	2127	4358
328	2133	4350
329	2139	4343
330	2145	4336
331	2151	4329
332	2157	4322
333	2164	4315
334	2170	4308
335	2176	4301
336	2182	4293
337	2188	4286
338	2194	4279
339	2200	4271
340	2206	4264
341	2212	4257
342	2219	4251
343	2225	4244
344	2231	4237
345	2237	4229
346	2243	4222
347	2249	4215
348	2255	4207
349	2262	4200
350	2268	4193
351	2274	4187
352	2280	4179
353	2286	4172
354	2292	4165
355	2298	4157
356	2304	4151
357	2310	4144
358	2316	4136
359	2323	4129
360	2329	4122
361	2335	4115
362	2341	4108
363	2347	4101
364	2353	4093
365	2359	4086
366	2365	4079
367	2371	4072
368	2377	4065
369	2383	4058
370	2389	4051
371	2395	4044
372	2401	4037
373	2408	4030
374	2414	4024
375	2421	4018
376	2427	4010
377	2433	4003
378	2439	3996
379	2445	3989
380	2451	3982
381	2457	3975
382	2463	3968
383	2469	3961
384	2475	3954
385	2481	3947
386	2487	3940
387	2493	3933
388	2500	3926
389	2506	3919
390	2511	3912
391	2518	3905
392	2523	3898
393	2529	3891
394	2536	3884
395	2542	3877
396	2548	3870
397	2554	3863
398	2560	3856
399	2566	3849
400	2572	3842
401	2578	3835
402	2585	3829
403	2591	3822
404	2596	3815
405	2603	3808
406	2609	3801
407	2615	3795
408	2621	3788
409	2627	3781
410	2633	3774
411	2639	3767
412	2645	3760
413	2651	3753
414	2657	3746
415	2664	3739
416	2670	3732
417	2676	3726
418	2682	3719
419	2688	3712
420	2694	3705
421	2700	3699
422	2707	3692
423	2713	3686
424	2719	3679
425	2725	3672
426	2731	3665
427	2737	3658
428	2743	3651
429	2749	3644
430	2755	3638
431	2762	3631
432	2768	3625
433	2775	3619
434	2781	3612
435	2787	3606
436	2794	3599
437	2800	3593
438	2807	3587
439	2813	3581
440	2820	3575
441	2826	3568
442	2833	3562
443	2840	3556
444	2846	3550
445	2858	3550
446	2865	3544
447	2871	3538
448	2877	3531
449	2883	3524
450	2889	3517
451	2895	3510
452	2902	3504
453	2908	3497
454	2913	3490
455	2919	3483
456	2925	3476
457	2931	3469
458	2938	3462
459	2943	3455
460	2949	3448
461	2955	3442
462	2962	3435
463	2968	3428
464	2974	3422
465	2980	3415
466	2986	3408
467	2992	3402
468	2999	3395
469	3005	3388
470	3012	3382
471	3017	3376
472	3024	3369
473	3030	3362
474	3036	3355
475	3042	3349
476	3048	3342
477	3054	3335
478	3060	3328
479	3066	3322
480	3072	3315
481	3078	3308
482	3084	3301
483	3090	3295
484	3096	3288
485	3102	3281
486	3109	3275
487	3115	3268
488	3121	3261
489	3127	3255
490	3133	3248
491	3139	3241
492	3145	3234
493	3151	3228
494	3157	3221
495	3163	3214
496	3169	3207
497	3175	3201
498	3181	3194
499	3187	3187
500	3194	3181
501	3200	3175
502	3207	3168
503	3213	3162
504	3219	3155
505	3225	3148
506	3231	3142
507	3237	3135
508	3243	3128
509	3249	3122
510	3255	3115
511	3261	3108
512	3267	3101
513	3273	3095
514	3279	3088
